Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed42
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed42/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9011 | ori_l2r=10.9014 | model_order=10.9017 | unstructured=10.9011 | rw=10.9013
[attn_traj] fixed 16 attention samples, indices_hash=0xfd22fda5
[attn_traj] heatmaps saved @ step 0 (extraction 0.3s)
Saved checkpoint: runs/handoff_overnight/seed42/ckpt_step0.pt
[Eval @ 800] train_obj=5.4405 | ori_l2r=5.3656 | model_order=5.4420 | unstructured=5.4405 | rw=5.4277
step   800->  801/10000 | loss=5.4318 | alpha=0.000 | lr=9.99e-04 | 2.77s/step | ETA 7.1h | total 326s
step   810->  811/10000 | loss=5.4595 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 328s
step   820->  821/10000 | loss=5.4610 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 331s
step   830->  831/10000 | loss=5.4230 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 333s
step   840->  841/10000 | loss=5.4543 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 336s
step   850->  851/10000 | loss=5.4043 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 338s
step   860->  861/10000 | loss=5.4572 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 341s
step   870->  871/10000 | loss=5.3580 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 343s
step   880->  881/10000 | loss=5.4554 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 346s
step   890->  891/10000 | loss=5.4318 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 348s
step   900->  901/10000 | loss=5.4289 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 350s
step   910->  911/10000 | loss=5.3997 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 353s
step   920->  921/10000 | loss=5.3258 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 355s
step   930->  931/10000 | loss=5.4076 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 358s
step   940->  941/10000 | loss=5.4517 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 360s
step   950->  951/10000 | loss=5.4228 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 363s
step   960->  961/10000 | loss=5.3156 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 365s
step   970->  971/10000 | loss=5.3291 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 367s
step   980->  981/10000 | loss=5.4300 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 370s
step   990->  991/10000 | loss=5.4544 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 372s
[Eval @ 1000] alpha=0.0000
[Eval @ 1000] train_obj=5.3653 | ori_l2r=5.2811 | model_order=5.3664 | unstructured=5.3653 | rw=5.3485
Saved checkpoint: runs/handoff_overnight/seed42/ckpt_step1000.pt
step  1000-> 1001/10000 | loss=5.4101 | alpha=0.000 | lr=9.99e-04 | 2.83s/step | ETA 7.1h | total 401s
step  1010-> 1011/10000 | loss=5.3288 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 403s
step  1020-> 1021/10000 | loss=5.3339 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 405s
step  1030-> 1031/10000 | loss=5.3315 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 408s
step  1040-> 1041/10000 | loss=5.3163 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 410s
step  1050-> 1051/10000 | loss=5.3882 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 413s
step  1060-> 1061/10000 | loss=5.3319 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 415s
step  1070-> 1071/10000 | loss=5.3561 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 418s
step  1080-> 1081/10000 | loss=5.3134 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 420s
step  1090-> 1091/10000 | loss=5.3570 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 423s
step  1100-> 1101/10000 | loss=5.3399 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 425s
step  1110-> 1111/10000 | loss=5.3844 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 427s
