ckpt_group,step,head,tau_l2r,tau_rev_l2r,abs_tau_gt_0.5,quality,quality_std,frame,B_or_BT,near_diag_mass,row_entropy,top1_mass,margin
old,10000,4,0.08708333333333332,-0.08708333333333332,0.13,-0.8750704174199839,0.7538364837931776,model,BT,0.0942772127964221,3.914268796354955,0.05811285199051705,0.9081281258835665
old,10000,5,0.12523809523809526,-0.12523809523809526,0.005,-0.8064458758685376,0.6389854233074869,model,BT,0.09362238250761103,4.030167376239757,0.04498112113881664,0.9558419020905226
old,10000,6,-0.3134375,0.3134375,0.765,0.33998639052560636,0.9174041549988352,model,BT,0.09901524629113455,2.31300889654295,0.3135685378643705,2.5920966266543712
old,10000,7,-0.951329365079365,0.951329365079365,0.975,0.9120319915337174,0.8952493670155911,model,BT,0.09823592879301868,1.419370274636169,0.5767338745203903,3.398488646525361
old,10000,0,-0.9059474206349206,0.9059474206349206,0.985,-2.633982732442853,0.5811048799681895,physical,B,0.8038547475835442,1.960039460415083,0.3768411733117871,1.632286167736447
old,10000,1,1.0,-1.0,1.0,1.4531465316919452,0.6768457886428654,physical,B,0.8172037713169061,1.4387542193403133,0.6505522522686633,4.544641492581032
old,10000,2,0.9279761904761904,-0.9279761904761904,0.925,1.6045029757854676,0.6573481193128201,physical,B,0.8387681626088593,1.224879751944571,0.7116222825988823,4.555347121696975
old,10000,3,-0.09509920634920635,0.09509920634920635,0.005,-0.5805657518088104,0.35608153778720225,physical,B,0.16911077605577346,3.996082660779706,0.041646137366818846,0.5353024839550781
old,10000,4,-0.338422619047619,0.338422619047619,0.455,-0.9322282251377096,0.5743611418854159,physical,B,0.16781570214103936,3.964126871822898,0.04945613947603835,0.7141058042124626
old,10000,5,-0.04849206349206349,0.04849206349206349,0.0,-0.345298481649053,0.30080762775362946,physical,B,0.11302624581766034,4.064501131381715,0.03763124224430384,0.793375178284893
old,10000,6,0.7212549603174603,-0.7212549603174603,0.89,0.5717133865998778,0.4744407104002042,physical,B,0.7176560499224328,2.3584047200780036,0.308651533794107,2.639458341669679
old,10000,7,-0.10982638888888889,0.10982638888888889,0.0,0.8627122969611358,0.5333922430752933,physical,B,0.8949803209362428,1.4521878015422403,0.5733884323775065,3.3321149203907505
old,10000,0,0.7129861111111111,-0.7129861111111111,0.985,-1.9499976121192202,0.7763827497044177,physical,BT,0.8038547475835442,1.9141902478720558,0.38752223585576284,1.7899241354046063
old,10000,1,-0.8636160714285714,0.8636160714285714,0.895,1.9876895945296442,0.6210651949640461,physical,BT,0.8172037713169062,1.4009052942534865,0.6562285190162727,4.853501388551056
old,10000,2,-0.8807986111111111,0.8807986111111111,0.895,2.072631349301157,0.5439110856843219,physical,BT,0.8387681626088593,1.1848127332313174,0.7189031643290613,4.934197460015427
old,10000,3,0.4350148809523809,-0.4350148809523809,0.41,-1.6808254204823831,0.871279593773089,physical,BT,0.16911077605577346,3.971630210533464,0.045666061852457446,0.691576173372394
old,10000,4,0.08708333333333332,-0.08708333333333332,0.13,-0.8750704174199839,0.7538364837931776,physical,BT,0.16781570214103936,3.914268796354955,0.05811285199051705,0.9081281258835665
old,10000,5,0.12523809523809526,-0.12523809523809526,0.005,-0.8064458758685376,0.6389854233074869,physical,BT,0.11302624581766034,4.030167376239757,0.04498112113881664,0.9558419020905223
old,10000,6,-0.3134375,0.3134375,0.765,0.33998639052560636,0.9174041549988352,physical,BT,0.7176560499224328,2.31300889654295,0.3135685378643705,2.5920966266543712
old,10000,7,-0.951329365079365,0.951329365079365,0.975,0.9120319915337174,0.8952493670155911,physical,BT,0.8949803209362428,1.419370274636169,0.5767338745203904,3.398488646525361
old,20000,0,-0.9992113095238097,0.9992113095238097,1.0,-2.088574987919509,0.5024450411473551,model,B,0.09666174052116575,1.685968048205467,0.5077968474046815,2.74692651162733
old,20000,1,0.9972321428571428,-0.9972321428571428,1.0,1.6766656964546416,0.4145900391396888,model,B,0.10459527071673659,1.3360598018667857,0.7062891580473392,4.614817406811798
old,20000,2,1.0,-1.0,1.0,1.818445255673785,0.4131266713431822,model,B,0.10936200317912817,0.6042235763463789,0.8851288652518836,4.856889236741299
old,20000,3,-0.09658234126984126,0.09658234126984126,0.005,-0.9982124627363208,0.6010046150781309,model,B,0.09319793767529488,3.8342592090963983,0.06169194561346063,0.6374937557080124
old,20000,4,-0.02170634920634922,0.02170634920634922,0.755,-1.14364620109417,0.7145140065796427,model,B,0.09389109079540088,3.898449163757492,0.05561580150302241,0.6919696110290465
old,20000,5,-0.06920138888888888,0.06920138888888888,0.01,-0.9064155064534054,0.6056374532916755,model,B,0.09368012618534198,4.06632898433309,0.03685039998988126,0.7595625764403092
old,20000,6,0.32964781746031746,-0.32964781746031746,0.805,0.5109223122916223,0.8763085369590233,model,B,0.09862962578476997,2.1396352472183873,0.4005364523406524,3.075348298306457
old,20000,7,0.999375,-0.999375,1.0,1.1308158937833557,0.4203268173264622,model,B,0.10055513806950149,1.2248949536392404,0.6516609228497015,3.72253722085742
old,20000,0,0.9330654761904762,-0.9330654761904762,1.0,-2.0904428302429756,0.3199418925967294,model,BT,0.09666174052116575,1.6331881466399505,0.5143859180315645,2.8295819517497285
old,20000,1,-0.9975446428571427,0.9975446428571427,1.0,2.016672257589616,0.24078740212447056,model,BT,0.10459527071673655,1.2947074687163536,0.7146274920701746,5.081128161198217
old,20000,2,-1.0,1.0,1.0,2.1572824927189904,0.23960584467961663,model,BT,0.1093620031791282,0.571815706270132,0.8918616995399062,5.32323025947407
old,20000,3,0.38414186507936504,-0.38414186507936504,0.205,-1.828139542031606,0.44979024954724234,model,BT,0.09319793767529488,3.8059305780392885,0.06667304097313201,0.8484070735976711
old,20000,4,0.010510912698412693,-0.010510912698412693,0.48,-1.2776578789367095,0.6500486601195073,model,BT,0.09389109079540088,3.8552162120466953,0.06352413674772582,0.833333180813022
old,20000,5,0.04854662698412698,-0.04854662698412698,0.005,-1.1049911622083073,0.39041751234631794,model,BT,0.09368012618534198,4.034286219975352,0.043475051122185145,0.9329472810068665
old,20000,6,-0.8631349206349205,0.8631349206349205,0.965,0.9169792600060158,0.43321884197934096,model,BT,0.09862962578476996,2.096005789479934,0.40456968682219524,3.2591427984298025
old,20000,7,-0.9866914682539683,0.9866914682539683,1.0,1.210297403104976,0.24875913874612973,model,BT,0.10055513806950149,1.181645689823326,0.6548484989666999,3.674552595495902
old,20000,0,-0.9992113095238097,0.9992113095238097,1.0,-2.088574987919509,0.5024450411473551,physical,B,0.8525179355649252,1.685968048205467,0.5077968474046815,2.7469265116273305
old,20000,1,0.9972321428571428,-0.9972321428571428,1.0,1.6766656964546416,0.4145900391396889,physical,B,0.841431139599999,1.3360598018667857,0.7062891580473392,4.614817406811798
old,20000,2,1.0,-1.0,1.0,1.818445255673785,0.4131266713431822,physical,B,0.9376437766523702,0.6042235763463789,0.8851288652518836,4.856889236741299
old,20000,3,-0.09658234126984126,0.09658234126984126,0.005,-0.9982124627363208,0.6010046150781309,physical,B,0.21889165605157718,3.834259209096398,0.06169194561346063,0.6374937557080124
old,20000,4,-0.02170634920634922,0.02170634920634922,0.755,-1.14364620109417,0.7145140065796427,physical,B,0.20176225768405925,3.898449163757492,0.05561580150302241,0.6919696110290465
old,20000,5,-0.06920138888888888,0.06920138888888888,0.01,-0.9064155064534054,0.6056374532916755,physical,B,0.11483112018261746,4.06632898433309,0.03685039998988126,0.7595625764403091
old,20000,6,0.32964781746031746,-0.32964781746031746,0.805,0.5109223122916223,0.8763085369590233,physical,B,0.783533052358501,2.1396352472183873,0.40053645234065244,3.075348298306457
old,20000,7,0.999375,-0.999375,1.0,1.1308158937833557,0.4203268173264622,physical,B,0.9379222530392898,1.2248949536392404,0.6516609228497015,3.72253722085742
old,20000,0,0.9330654761904762,-0.9330654761904762,1.0,-2.0904428302429756,0.3199418925967294,physical,BT,0.8525179355649252,1.6331881466399505,0.5143859180315646,2.8295819517497285
old,20000,1,-0.9975446428571427,0.9975446428571427,1.0,2.016672257589616,0.24078740212447056,physical,BT,0.8414311395999989,1.2947074687163536,0.7146274920701748,5.081128161198217
old,20000,2,-1.0,1.0,1.0,2.1572824927189904,0.23960584467961665,physical,BT,0.9376437766523702,0.571815706270132,0.8918616995399062,5.32323025947407
old,20000,3,0.38414186507936504,-0.38414186507936504,0.205,-1.828139542031606,0.4497902495472423,physical,BT,0.21889165605157718,3.8059305780392885,0.06667304097313201,0.8484070735976711
old,20000,4,0.010510912698412693,-0.010510912698412693,0.48,-1.2776578789367095,0.6500486601195072,physical,BT,0.20176225768405925,3.8552162120466953,0.06352413674772582,0.833333180813022
old,20000,5,0.04854662698412698,-0.04854662698412698,0.005,-1.1049911622083075,0.39041751234631794,physical,BT,0.11483112018261746,4.034286219975352,0.043475051122185145,0.9329472810068664
old,20000,6,-0.8631349206349205,0.8631349206349205,0.965,0.9169792600060159,0.43321884197934096,physical,BT,0.783533052358501,2.096005789479934,0.40456968682219524,3.2591427984298025
old,20000,7,-0.9866914682539683,0.9866914682539683,1.0,1.2102974031049758,0.24875913874612973,physical,BT,0.9379222530392899,1.181645689823326,0.6548484989666999,3.674552595495902
new,5000,0,0.011894841269841272,-0.011894841269841272,0.0,-0.23948609539559837,0.5779323326706587,model,B,0.09244161984017076,4.078653028469865,0.03533487712119972,0.7671970271692743
new,5000,1,0.09021329365079366,-0.09021329365079366,0.115,0.6746846146570887,0.8439064536316714,model,B,0.10123928821485459,3.022903651513259,0.2264309358526525,2.559159944801108
new,5000,2,-0.14358630952380952,0.14358630952380952,0.025,2.452242487984862,0.871913890497499,model,B,0.10114575047099407,2.485367271491564,0.40128465395493257,4.448560002683138
new,5000,3,0.21909722222222222,-0.21909722222222222,0.005,-1.1897956752027077,0.8929342281758268,model,B,0.0930638407764004,4.041623849577486,0.0381614352626028,0.491661930618068
new,5000,4,-0.06668154761904763,0.06668154761904763,0.205,0.24747195432091218,0.9730266152234827,model,B,0.09790340526191227,2.9461439117949664,0.21855692593626258,2.476475514223529
new,5000,5,-0.7551438492063491,0.7551438492063491,0.93,-1.5987304289541187,0.8525028304401042,model,B,0.08894038771333969,2.4616865124813487,0.34010155456346697,1.3718065805410924
new,5000,6,0.25914186507936504,-0.25914186507936504,0.075,-1.301595700802952,0.7134776037074024,model,B,0.09252639227263187,3.266594180686852,0.143261188889615,0.9526072583777833
new,5000,7,0.0001636904761904745,-0.0001636904761904745,0.125,0.9552088433925138,0.905427180288982,model,B,0.10149277746307014,2.9007289882469376,0.2786643551949444,2.742548583739459
new,5000,0,0.017594246031746034,-0.017594246031746034,0.0,-1.132458259123905,0.5573658299103471,model,BT,0.09244161984017076,4.046273465192986,0.04190101830650216,0.9393491107520079
new,5000,1,-0.7498462301587301,0.7498462301587301,0.845,1.3237782072659419,0.5979611079265095,model,BT,0.10123928821485459,3.003116552659068,0.230193450316888,3.4717424482540706
new,5000,2,-0.9861359126984126,0.9861359126984126,0.99,2.2785430636660915,0.46774046093351135,model,BT,0.10114575047099407,2.4704294117693695,0.4066440056049156,4.641265418684284
new,5000,3,-0.4622718253968254,0.4622718253968254,0.4,-0.6983546535461432,0.297183785437178,model,BT,0.0930638407764004,4.012442537569651,0.04234877593299041,0.7375993482368085
new,5000,4,0.043511904761904766,-0.043511904761904766,0.495,-0.34851945384811217,0.9822752951599615,model,BT,0.09790340526191227,2.909544573437897,0.22940183361742844,2.808285786534428
new,5000,5,0.641577380952381,-0.641577380952381,0.965,-2.3067098272177917,0.6110673580848266,model,BT,0.08894038771333969,2.428726947778904,0.3515718593961242,1.7031440003966565
new,5000,6,-0.05165178571428571,0.05165178571428571,0.035,-0.8407692001408228,0.537044702017404,model,BT,0.09252639227263187,3.2291023638738205,0.15225571391407203,1.3100035142307218
new,5000,7,-0.8182291666666667,0.8182291666666667,0.875,1.7244901229447414,0.5542626913172215,model,BT,0.10149277746307014,2.8769518196785167,0.2830754631433343,3.9522350406980205
