setup	sample_idx	sample_id	readiness_strength	asymmetry	row_entropy	top1_mass	top4_mass	argmax_dist	p_nbr_le1	locality_score	local_greedy_dist	directionality	out_degree_std	in_degree_std
text	104	60769	23.135365	0.586312	0.962412	0.062729	0.177679	23.90625	0.015625	0.0	23.904762	0.515625	0.063198	0.011573
text	105	178109	20.614893	0.545053	0.964027	0.061984	0.17535	23.578125	0.046875	0.0	25.031746	0.53125	0.046719	0.009385
text	106	290246	24.467444	0.608502	0.95929	0.066625	0.185354	23.296875	0.03125	0.0	22.111111	0.5	0.053567	0.010247
text	107	329453	21.665702	0.58582	0.960229	0.067339	0.185304	24.75	0.03125	0.0	23.396825	0.53125	0.03848	0.010588
text	108	462227	22.759455	0.592127	0.963127	0.061453	0.176792	23.640625	0.046875	0.0	21.31746	0.5	0.050781	0.011379
text	109	49855	22.557618	0.595154	0.960735	0.064289	0.182228	24.203125	0.03125	0.0	23.285714	0.515625	0.060387	0.011146
text	110	128102	18.723944	0.558645	0.959196	0.063818	0.182977	25.359375	0.046875	0.0	22.222222	0.578125	0.048406	0.013353
text	111	104744	18.347457	0.539376	0.963035	0.060897	0.179821	23.265625	0.03125	0.0	22.396825	0.53125	0.040858	0.008049
text	112	265952	21.600408	0.580448	0.96344	0.063159	0.17731	21.390625	0.015625	0.01274	20.126984	0.5625	0.057622	0.011518
text	113	443761	21.103067	0.571534	0.962785	0.063107	0.177372	22.375	0.046875	0.0	22.047619	0.546875	0.057006	0.009918
text	114	57856	21.876793	0.566288	0.960358	0.065397	0.181574	21.984375	0.046875	0.0	21.714286	0.546875	0.05912	0.0109
text	115	155714	20.556354	0.560053	0.963789	0.059547	0.173799	22.21875	0.015625	0.0	22.301587	0.53125	0.055925	0.009358
text	116	353159	21.577865	0.580363	0.961654	0.062838	0.180533	23.671875	0.015625	0.0	22.031746	0.5	0.048872	0.01018
text	117	321392	22.953164	0.573655	0.962493	0.064666	0.182638	23.84375	0.046875	0.0	22.777778	0.5	0.040562	0.009532
text	118	16487	25.128456	0.638885	0.95925	0.063531	0.183856	23.984375	0.046875	0.0	23.698413	0.5625	0.056801	0.011218
text	119	427308	24.734575	0.603827	0.963714	0.059991	0.173757	22.890625	0.046875	0.0	22.238095	0.5625	0.06669	0.011263
text	120	264176	20.199315	0.540686	0.965317	0.062144	0.173171	24.53125	0.046875	0.0	21.857143	0.5	0.054448	0.010402
text	121	303964	23.66744	0.613701	0.960598	0.063984	0.181988	23.9375	0.0625	0.0	23.0	0.515625	0.052174	0.010795
text	122	451984	19.660248	0.546572	0.962117	0.06245	0.180242	25.28125	0.03125	0.0	22.698413	0.546875	0.053133	0.009342
text	123	67984	21.38935	0.58553	0.962253	0.063207	0.177622	22.0625	0.046875	0.0	21.428571	0.53125	0.046841	0.012409
text	124	309335	31.623503	0.62025	0.961005	0.062422	0.180999	18.734375	0.03125	0.135337	20.809524	0.53125	0.071685	0.012228
text	125	8503	26.103346	0.650823	0.958617	0.066372	0.184548	23.109375	0.03125	0.0	20.365079	0.5	0.045736	0.010626
text	126	116986	22.237528	0.583534	0.961669	0.063399	0.178388	24.328125	0.015625	0.0	22.428571	0.5625	0.059825	0.010995
text	127	295342	19.478292	0.54376	0.964769	0.057218	0.170893	24.140625	0.015625	0.0	22.777778	0.5	0.052551	0.011138
text	128	379905	24.97262	0.602153	0.959467	0.069623	0.192427	24.78125	0.015625	0.0	24.857143	0.53125	0.031947	0.009941
text	129	399166	27.40733	0.636204	0.960023	0.066607	0.185895	21.734375	0.03125	0.0	23.190476	0.546875	0.047401	0.010426
text	130	395784	19.219468	0.547282	0.962205	0.063362	0.178195	25.578125	0.015625	0.0	20.52381	0.546875	0.051201	0.010126
text	131	26172	21.346444	0.572498	0.963263	0.062319	0.176647	24.234375	0.046875	0.0	23.174603	0.53125	0.047029	0.01171
text	132	237377	21.448701	0.583941	0.961521	0.062125	0.177401	23.21875	0.03125	0.0	21.84127	0.546875	0.057801	0.011974
text	133	388177	21.429206	0.570688	0.962524	0.063443	0.178996	25.515625	0.015625	0.0	22.571429	0.515625	0.057813	0.010568
text	134	266809	22.620899	0.576256	0.961534	0.065005	0.184288	23.65625	0.03125	0.0	21.984127	0.53125	0.050674	0.008763
text	135	420554	20.466275	0.570445	0.960763	0.065055	0.181156	22.28125	0.03125	0.0	21.825397	0.578125	0.044806	0.010893
text	136	330326	21.098777	0.573973	0.961508	0.062222	0.181112	23.40625	0.0	0.0	22.174603	0.546875	0.046586	0.010386
text	137	431491	30.463781	0.655232	0.961303	0.067246	0.186459	23.796875	0.03125	0.0	21.825397	0.53125	0.03845	0.01213
text	138	406468	25.837045	0.610604	0.959491	0.063625	0.182586	21.203125	0.046875	0.021394	22.047619	0.5625	0.071731	0.010712
text	139	45818	22.144779	0.57775	0.960895	0.063763	0.181137	23.734375	0.046875	0.0	21.238095	0.5	0.059645	0.011241
text	140	11783	28.047604	0.63743	0.96151	0.063613	0.180366	22.765625	0.03125	0.0	21.063492	0.53125	0.06436	0.009874
