key,group,n,mean_abs_diff,rms_diff,mean_abs_a,mean_abs_b,cosine
transformer.h.3.attn.c_attn.weight,c_attn,442368,0.043936800211668015,0.05629556626081467,0.042833998799324036,0.04283333197236061,0.46683422447852324
transformer.h.3.attn.c_proj.weight,c_proj,147456,0.0408904142677784,0.0530901700258255,0.04010352864861488,0.040114227682352066,0.46134021560743926
transformer.h.3.attn.k_norm.weight,q_norm_k_norm,48,0.07209189981222153,0.08688821643590927,1.4362238645553589,1.4649783372879028,0.9984068044300526
transformer.h.3.attn.q_norm.weight,q_norm_k_norm,48,0.07209191471338272,0.08688820153474808,1.4362236261367798,1.4649782180786133,0.9984068412030785
transformer.h.3.ln_1.weight,norm,384,0.028510866686701775,0.04094739630818367,1.0023564100265503,1.0089365243911743,0.9991993663682673
transformer.h.3.ln_2.weight,norm,384,0.015944436192512512,0.02365025505423546,0.9906561374664307,0.9911722540855408,0.9997159180652881
transformer.h.3.mlp.c_fc.weight,mlp,589824,0.039290651679039,0.050375763326883316,0.04457775875926018,0.04465033486485481,0.5978086278285172
transformer.h.3.mlp.c_proj.weight,c_proj,589824,0.03845241293311119,0.049428846687078476,0.04104718565940857,0.04097658395767212,0.5449183553537515
transformer.wnonee.weight,other,384,0.007773133460432291,0.020374096930027008,0.020963475108146667,0.021350858733057976,0.9246885327237009
transformer.wpe.weight,wpe,98688,0.027732184156775475,0.03737466037273407,0.026406314224004745,0.026740631088614464,0.4500396771254733
transformer.wte.weight,wte,19316736,0.024699734523892403,0.03285464271903038,0.03799513354897499,0.03797631710767746,0.7844022606820515
transformer.wtpe.weight,other,32768,0.026257198303937912,0.038828447461128235,0.0403856560587883,0.03959009423851967,0.8475581621616811
