key,group,n,mean_abs_diff,rms_diff,mean_abs_a,mean_abs_b,cosine
transformer.h.2.ln_2.weight,norm,384,0.02638876996934414,0.0420382134616375,0.9454343914985657,0.958012580871582,0.9991228178374446
transformer.h.2.mlp.c_fc.weight,mlp,589824,0.04029263183474541,0.05168294161558151,0.044424135237932205,0.04468939080834389,0.5786803332176425
transformer.h.2.mlp.c_proj.weight,c_proj,589824,0.042252905666828156,0.05418232083320618,0.04310465231537819,0.04298741742968559,0.5043440925705482
transformer.h.3.adaLN.1.bias,other,2304,0.014349584467709064,0.023807082325220108,0.04339105263352394,0.044437382370233536,0.9066653929710212
transformer.h.3.adaLN.1.weight,other,294912,0.030642373487353325,0.04638589546084404,0.04083849489688873,0.04385743662714958,0.6788732803226802
transformer.h.3.attn.c_attn.weight,c_attn,442368,0.04780477657914162,0.06120685487985611,0.04337802901864052,0.043451596051454544,0.3896507427934875
transformer.h.3.attn.c_proj.weight,c_proj,147456,0.046142637729644775,0.05944545567035675,0.04143732413649559,0.04222239553928375,0.3799058242831545
transformer.h.3.attn.k_norm.weight,q_norm_k_norm,48,0.16217643022537231,0.19018934667110443,1.6474500894546509,1.7744694948196411,0.9966468433559404
transformer.h.3.attn.q_norm.weight,q_norm_k_norm,48,0.16217634081840515,0.1901891976594925,1.6474517583847046,1.774471402168274,0.9966468714889815
transformer.h.3.ln_1.weight,norm,384,0.030414598062634468,0.0405612513422966,0.9983465075492859,0.999417245388031,0.9991819950403338
transformer.h.3.ln_2.weight,norm,384,0.016028910875320435,0.023658765479922295,0.9906147122383118,0.9918592572212219,0.9997164607120306
transformer.h.3.mlp.c_fc.weight,mlp,589824,0.040428243577480316,0.05181768536567688,0.04450128600001335,0.044530462473630905,0.5732040318097155
transformer.h.3.mlp.c_proj.weight,c_proj,589824,0.03974638879299164,0.05114922299981117,0.04101630300283432,0.04082951694726944,0.5108822280158919
transformer.wnonee.weight,other,384,0.005607994738966227,0.018063487485051155,0.02071942202746868,0.021239325404167175,0.9494095840675651
transformer.wpe.weight,wpe,98688,0.026144081726670265,0.03558332845568657,0.02616075612604618,0.025129025802016258,0.4781174949375022
transformer.wte.weight,wte,19316736,0.02519705705344677,0.03352145105600357,0.037989042699337006,0.03805961832404137,0.7759361365655912
transformer.wtpe.weight,other,32768,0.025705965235829353,0.03848126158118248,0.038978055119514465,0.04026680812239647,0.8502839014437148
