key,group,n,mean_abs_diff,rms_diff,mean_abs_a,mean_abs_b,cosine
transformer.h.1.attn.c_proj.weight,c_proj,147456,0.05310601741075516,0.06796623021364212,0.041349392384290695,0.04157320037484169,0.18666233160191134
transformer.h.1.attn.k_norm.weight,q_norm_k_norm,48,0.22574907541275024,0.27820807695388794,1.5770316123962402,1.5880228281021118,0.9848914054083171
transformer.h.1.attn.q_norm.weight,q_norm_k_norm,48,0.22574938833713531,0.2782081961631775,1.5770326852798462,1.5880231857299805,0.9848913813104611
transformer.h.1.ln_1.weight,norm,384,0.03141804784536362,0.04105918109416962,1.0105030536651611,1.0084832906723022,0.9991788572016611
transformer.h.1.ln_2.weight,norm,384,0.0291824322193861,0.044428255409002304,0.981736421585083,0.9808387756347656,0.9989797471797381
transformer.h.1.mlp.c_fc.weight,mlp,589824,0.04552476480603218,0.05796078220009804,0.0449710488319397,0.044776491820812225,0.4772454609822533
transformer.h.1.mlp.c_proj.weight,c_proj,589824,0.047100938856601715,0.05985458940267563,0.04125146195292473,0.040887460112571716,0.33891769116712783
transformer.h.2.adaLN.1.bias,other,2304,0.019380394369363785,0.03229768946766853,0.05944731459021568,0.05702917277812958,0.8989049876750062
transformer.h.2.adaLN.1.weight,other,294912,0.03846699371933937,0.059710029512643814,0.05786309018731117,0.05661771073937416,0.6993649531710432
transformer.h.2.attn.c_attn.weight,c_attn,442368,0.05102071166038513,0.06600471585988998,0.043702155351638794,0.04343445599079132,0.3180165334696225
transformer.h.2.attn.c_proj.weight,c_proj,147456,0.05180861055850983,0.06648890674114227,0.04415756091475487,0.044296376407146454,0.30698922494528974
transformer.h.2.attn.k_norm.weight,q_norm_k_norm,48,0.26571163535118103,0.3330630660057068,1.948333740234375,1.9011520147323608,0.9855548691587067
transformer.h.2.attn.q_norm.weight,q_norm_k_norm,48,0.2657109200954437,0.33306196331977844,1.9483388662338257,1.901157021522522,0.9855549820383418
transformer.h.2.ln_1.weight,norm,384,0.04674314334988594,0.060399025678634644,1.0107005834579468,1.0220774412155151,0.9983063780428488
transformer.h.2.ln_2.weight,norm,384,0.024640211835503578,0.03870318830013275,0.9464699625968933,0.9454343914985657,0.9991656672674573
transformer.h.2.mlp.c_fc.weight,mlp,589824,0.04560936987400055,0.05824165418744087,0.044589243829250336,0.044424135237932205,0.4639495156973593
transformer.h.2.mlp.c_proj.weight,c_proj,589824,0.04801283776760101,0.06126351282000542,0.04311773553490639,0.04310465231537819,0.36814710573024295
transformer.h.3.adaLN.1.bias,other,2304,0.017070498317480087,0.02736419253051281,0.04181726649403572,0.04339105263352394,0.8661325428629879
transformer.h.3.adaLN.1.weight,other,294912,0.031067758798599243,0.04611217603087425,0.036095067858695984,0.04083849489688873,0.6205574867270368
transformer.h.3.attn.c_attn.weight,c_attn,442368,0.05112987011671066,0.06518831849098206,0.042833998799324036,0.04337802901864052,0.2954027546826972
transformer.h.3.attn.c_proj.weight,c_proj,147456,0.04885930195450783,0.06242414563894272,0.04010352864861488,0.04143732413649559,0.278745072404266
transformer.h.3.attn.k_norm.weight,q_norm_k_norm,48,0.23045021295547485,0.25267571210861206,1.4362238645553589,1.6474500894546509,0.9962849593745174
transformer.h.3.attn.q_norm.weight,q_norm_k_norm,48,0.23045136034488678,0.2526765763759613,1.4362236261367798,1.6474517583847046,0.9962850489371288
transformer.h.3.ln_1.weight,norm,384,0.03539940342307091,0.046724218875169754,1.0023564100265503,0.9983465075492859,0.9989209453965818
transformer.h.3.ln_2.weight,norm,384,0.016985910013318062,0.023594845086336136,0.9906561374664307,0.9906147122383118,0.9997167381594882
transformer.h.3.mlp.c_fc.weight,mlp,589824,0.044736962765455246,0.05707407370209694,0.04457775875926018,0.04450128600001335,0.4824229796285018
transformer.h.3.mlp.c_proj.weight,c_proj,589824,0.04434835910797119,0.05671151727437973,0.04104718565940857,0.04101630300283432,0.40161530546364566
transformer.wnonee.weight,other,384,0.009305327199399471,0.027653584256768227,0.020963475108146667,0.02071942202746868,0.868690334437073
transformer.wpe.weight,wpe,98688,0.02695072814822197,0.03592824935913086,0.026406314224004745,0.02616075612604618,0.4862469475030138
transformer.wte.weight,wte,19316736,0.026673488318920135,0.03548458218574524,0.03799513354897499,0.037989042699337006,0.7480786851863505
transformer.wtpe.weight,other,32768,0.0255456380546093,0.03784628584980965,0.0403856560587883,0.038978055119514465,0.8545194311445427
