Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed2
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed2/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9009 | ori_l2r=10.9008 | model_order=10.9008 | unstructured=10.9009 | rw=10.9008
[attn_traj] fixed 16 attention samples, indices_hash=0x7b01409d
[attn_traj] heatmaps saved @ step 0 (extraction 0.4s)
Saved checkpoint: runs/handoff_overnight/seed2/ckpt_step0.pt
step   690->  691/10000 | loss=5.4629 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 275s
step   700->  701/10000 | loss=5.5477 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 278s
step   710->  711/10000 | loss=5.4920 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 280s
step   720->  721/10000 | loss=5.4590 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 283s
step   730->  731/10000 | loss=5.5373 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 285s
step   740->  741/10000 | loss=5.5289 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 288s
step   750->  751/10000 | loss=5.4653 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 290s
step   760->  761/10000 | loss=5.4780 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 38m | total 293s
step   770->  771/10000 | loss=5.5295 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 38m | total 295s
step   780->  781/10000 | loss=5.4095 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 38m | total 297s
step   790->  791/10000 | loss=5.4911 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 38m | total 300s
[Eval @ 800] alpha=0.0000
[Eval @ 800] train_obj=5.4511 | ori_l2r=5.3781 | model_order=5.4526 | unstructured=5.4511 | rw=5.4383
step   800->  801/10000 | loss=5.4627 | alpha=0.000 | lr=9.99e-04 | 2.80s/step | ETA 7.2h | total 328s
step   810->  811/10000 | loss=5.5271 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 330s
step   820->  821/10000 | loss=5.4606 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 333s
step   830->  831/10000 | loss=5.4035 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 335s
step   840->  841/10000 | loss=5.4502 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 338s
step   850->  851/10000 | loss=5.4685 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 340s
step   860->  861/10000 | loss=5.5456 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 343s
step   870->  871/10000 | loss=5.4959 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 345s
step   880->  881/10000 | loss=5.3736 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 347s
step   890->  891/10000 | loss=5.4546 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 350s
step   900->  901/10000 | loss=5.4678 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 352s
step   910->  911/10000 | loss=5.4544 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 355s
step   920->  921/10000 | loss=5.3376 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 357s
step   930->  931/10000 | loss=5.4579 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 360s
step   940->  941/10000 | loss=5.3878 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 362s
step   950->  951/10000 | loss=5.4491 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 365s
step   960->  961/10000 | loss=5.4013 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 367s
step   970->  971/10000 | loss=5.3736 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 370s
